customer_id,first_name,last_name,email,phone,address
1,John,Doe,john.doe1@example.com,123-456-7890,"123 Main St"
2,Jane,Smith,jane.smith2@example.com,234-567-8901,"456 Elm St"
3,Alice,Johnson,alice.johnson3@example.com,345-678-9012,"789 Oak St"
4,Bob,Brown,bob.brown4@example.com,456-789-0123,"101 Pine St"
5,Charlie,Davis,charlie.davis5@example.com,567-890-1234,"202 Maple St"
6,Diana,Evans,diana.evans6@example.com,678-901-2345,"303 Cedar St"
7,Eve,Frank,eve.frank7@example.com,789-012-3456,"404 Birch St"
8,Frank,Green,frank.green8@example.com,890-123-4567,"505 Walnut St"
9,Grace,Harris,grace.harris9@example.com,901-234-5678,"606 Cherry St"
10,Hank,Irwin,hank.irwin10@example.com,012-345-6789,"707 Ash St"
11,Ivy,Jones,ivy.jones11@example.com,123-456-7890,"808 Spruce St"
12,Jack,King,jack.king12@example.com,234-567-8901,"909 Fir St"
13,Karen,Lee,karen.lee13@example.com,345-678-9012,"1010 Poplar St"
14,Leo,Miller,leo.miller14@example.com,456-789-0123,"1111 Willow St"
15,Mona,Nelson,mona.nelson15@example.com,567-890-1234,"1212 Palm St"
16,Nina,Olsen,nina.olsen16@example.com,678-901-2345,"1313 Redwood St"
17,Oscar,Parker,oscar.parker17@example.com,789-012-3456,"1414 Sequoia St"
18,Paul,Quinn,paul.quinn18@example.com,890-123-4567,"1515 Cypress St"
19,Quincy,Reed,quincy.reed19@example.com,901-234-5678,"1616 Magnolia St"
20,Rachel,Scott,rachel.scott20@example.com,012-345-6789,"1717 Dogwood St"
21,Samuel,Adams,samuel.adams21@example.com,123-555-6789,"1234 Maple St"
22,Olivia,Baker,olivia.baker22@example.com,234-555-7890,"5678 Oak St"
23,Michael,Carter,michael.carter23@example.com,345-555-8901,"9101 Pine St"
24,Sophia,Davis,sophia.davis24@example.com,456-555-9012,"1122 Elm St"
25,Jackson,Evans,jackson.evans25@example.com,567-555-0123,"3344 Birch St"
26,Lily,Foster,lily.foster26@example.com,678-555-1234,"5566 Cedar St"
27,Noah,Graham,noah.graham27@example.com,789-555-2345,"7788 Walnut St"
28,Amelia,Harris,amelia.harris28@example.com,890-555-3456,"9900 Cherry St"
29,Lucas,Irwin,lucas.irwin29@example.com,012-555-4567,"1122 Ash St"
30,Mason,Jones,mason.jones30@example.com,123-555-5678,"3344 Spruce St"
31,Avery,King,avery.king31@example.com,234-555-6789,"5566 Fir St"
32,Ella,Lee,ella.lee32@example.com,345-555-7890,"7788 Poplar St"
33,Ethan,Miller,ethan.miller33@example.com,456-555-8901,"9900 Willow St"
34,Scarlett,Nelson,scarlett.nelson34@example.com,567-555-9012,"1122 Palm St"
35,Oliver,Olsen,oliver.olsen35@example.com,678-555-0123,"3344 Redwood St"
36,Benjamin,Parker,benjamin.parker36@example.com,789-555-1234,"5566 Sequoia St"
37,Chloe,Quinn,chloe.quinn37@example.com,890-555-2345,"7788 Cypress St"
38,Elijah,Reed,elijah.reed38@example.com,012-555-3456,"9900 Magnolia St"
39,Isabella,Scott,isabella.scott39@example.com,123-555-4567,"1122 Dogwood St"
40,William,Turner,william.turner40@example.com,234-555-5678,"3344 Oakwood St"
